/root/autodl-tmp/conda_envs/dipseek/lib/python3.10/site-packages/transformers/utils/hub.py:110: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
LoRA config: from_weight=dipseek_sft_from_mtp_bs32, lora_name=dipseek_lora_medical_qv_r4_res1_lr1e5_bs32, use_residual_scale=True, residual_scale_init=1.0, mtp_depth=0, mtp_loss_weight=0.0, lora_rank=4, lora_alpha=8, lora_target=q_proj,v_proj
Model Params: 63.92M
Trainable Params: 63.924M
LLM 总参数量: 64.010 M
LoRA 参数量: 0.086 M
LoRA 参数占比: 0.13%
Epoch:[1/1](420/790), loss: 1.8559, logits_loss: 1.8559, aux_loss: 0.0000, lr: 0.00000505, epoch_time: 1.0min
Epoch:[1/1](430/790), loss: 1.7559, logits_loss: 1.7559, aux_loss: 0.0000, lr: 0.00000488, epoch_time: 1.0min
Epoch:[1/1](440/790), loss: 1.8795, logits_loss: 1.8795, aux_loss: 0.0000, lr: 0.00000470, epoch_time: 1.0min
Epoch:[1/1](450/790), loss: 1.7250, logits_loss: 1.7250, aux_loss: 0.0000, lr: 0.00000452, epoch_time: 1.0min
Epoch:[1/1](460/790), loss: 1.8562, logits_loss: 1.8562, aux_loss: 0.0000, lr: 0.00000435, epoch_time: 0.0min
Epoch:[1/1](470/790), loss: 1.7645, logits_loss: 1.7645, aux_loss: 0.0000, lr: 0.00000418, epoch_time: 0.0min
Epoch:[1/1](480/790), loss: 1.8746, logits_loss: 1.8746, aux_loss: 0.0000, lr: 0.00000401, epoch_time: 0.0min
Epoch:[1/1](490/790), loss: 1.7345, logits_loss: 1.7345, aux_loss: 0.0000, lr: 0.00000384, epoch_time: 0.0min
Epoch:[1/1](500/790), loss: 1.7372, logits_loss: 1.7372, aux_loss: 0.0000, lr: 0.00000368, epoch_time: 0.0min
Epoch:[1/1](510/790), loss: 1.7998, logits_loss: 1.7998, aux_loss: 0.0000, lr: 0.00000351, epoch_time: 0.0min
Epoch:[1/1](520/790), loss: 1.7695, logits_loss: 1.7695, aux_loss: 0.0000, lr: 0.00000335, epoch_time: 0.0min
Epoch:[1/1](530/790), loss: 1.8069, logits_loss: 1.8069, aux_loss: 0.0000, lr: 0.00000320, epoch_time: 0.0min
Epoch:[1/1](540/790), loss: 1.7057, logits_loss: 1.7057, aux_loss: 0.0000, lr: 0.00000305, epoch_time: 0.0min
Epoch:[1/1](550/790), loss: 1.7885, logits_loss: 1.7885, aux_loss: 0.0000, lr: 0.00000290, epoch_time: 0.0min
Epoch:[1/1](560/790), loss: 1.8062, logits_loss: 1.8062, aux_loss: 0.0000, lr: 0.00000275, epoch_time: 0.0min
Epoch:[1/1](570/790), loss: 1.8453, logits_loss: 1.8453, aux_loss: 0.0000, lr: 0.00000262, epoch_time: 0.0min
Epoch:[1/1](580/790), loss: 1.7910, logits_loss: 1.7910, aux_loss: 0.0000, lr: 0.00000248, epoch_time: 0.0min
Epoch:[1/1](590/790), loss: 1.8600, logits_loss: 1.8600, aux_loss: 0.0000, lr: 0.00000235, epoch_time: 0.0min
Epoch:[1/1](600/790), loss: 1.8016, logits_loss: 1.8016, aux_loss: 0.0000, lr: 0.00000222, epoch_time: 0.0min
Epoch:[1/1](610/790), loss: 1.8134, logits_loss: 1.8134, aux_loss: 0.0000, lr: 0.00000210, epoch_time: 0.0min
Epoch:[1/1](620/790), loss: 1.8017, logits_loss: 1.8017, aux_loss: 0.0000, lr: 0.00000199, epoch_time: 0.0min
Epoch:[1/1](630/790), loss: 1.7510, logits_loss: 1.7510, aux_loss: 0.0000, lr: 0.00000188, epoch_time: 0.0min
Epoch:[1/1](640/790), loss: 1.7808, logits_loss: 1.7808, aux_loss: 0.0000, lr: 0.00000178, epoch_time: 0.0min
Epoch:[1/1](650/790), loss: 1.8820, logits_loss: 1.8820, aux_loss: 0.0000, lr: 0.00000168, epoch_time: 0.0min
Epoch:[1/1](660/790), loss: 1.8287, logits_loss: 1.8287, aux_loss: 0.0000, lr: 0.00000159, epoch_time: 0.0min
Epoch:[1/1](670/790), loss: 1.7769, logits_loss: 1.7769, aux_loss: 0.0000, lr: 0.00000150, epoch_time: 0.0min
Epoch:[1/1](680/790), loss: 1.8575, logits_loss: 1.8575, aux_loss: 0.0000, lr: 0.00000142, epoch_time: 0.0min
Epoch:[1/1](690/790), loss: 1.7269, logits_loss: 1.7269, aux_loss: 0.0000, lr: 0.00000135, epoch_time: 0.0min
Epoch:[1/1](700/790), loss: 1.8168, logits_loss: 1.8168, aux_loss: 0.0000, lr: 0.00000129, epoch_time: 0.0min
Epoch:[1/1](710/790), loss: 1.8142, logits_loss: 1.8142, aux_loss: 0.0000, lr: 0.00000123, epoch_time: 0.0min
Epoch:[1/1](720/790), loss: 1.7863, logits_loss: 1.7863, aux_loss: 0.0000, lr: 0.00000117, epoch_time: 0.0min
Epoch:[1/1](730/790), loss: 1.8495, logits_loss: 1.8495, aux_loss: 0.0000, lr: 0.00000113, epoch_time: 0.0min
Epoch:[1/1](740/790), loss: 1.7865, logits_loss: 1.7865, aux_loss: 0.0000, lr: 0.00000109, epoch_time: 0.0min
Epoch:[1/1](750/790), loss: 1.8258, logits_loss: 1.8258, aux_loss: 0.0000, lr: 0.00000106, epoch_time: 0.0min
Epoch:[1/1](760/790), loss: 1.7799, logits_loss: 1.7799, aux_loss: 0.0000, lr: 0.00000103, epoch_time: 0.0min
Epoch:[1/1](770/790), loss: 1.8042, logits_loss: 1.8042, aux_loss: 0.0000, lr: 0.00000101, epoch_time: 0.0min
Epoch:[1/1](780/790), loss: 1.8011, logits_loss: 1.8011, aux_loss: 0.0000, lr: 0.00000100, epoch_time: 0.0min
Epoch:[1/1](790/790), loss: 1.6916, logits_loss: 1.6916, aux_loss: 0.0000, lr: 0.00000100, epoch_time: 0.0min
